2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:20 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,196,Triabunna,163,25.91,466,74.09,629,99.53,3,0.47,632
1,TAS,193,Tullah,22,20.18,87,79.82,109,100,0,0,109
1,TAS,196,Tunnack,41,17.15,198,82.85,239,98.76,3,1.24,242
1,TAS,193,Turners Beach,274,31.71,590,68.29,864,99.2,7,0.8,871
1,TAS,193,Ulverstone Central,321,30.37,736,69.63,1057,98.51,16,1.49,1073
1,TAS,193,Ulverstone East,146,23.86,466,76.14,612,99.03,6,0.97,618
1,TAS,193,Ulverstone PPVC,994,27.07,2678,72.93,3672,98.82,44,1.18,3716
1,TAS,193,Ulverstone South,485,29.85,1140,70.15,1625,98.31,28,1.69,1653
1,TAS,193,Waratah,44,31.88,94,68.12,138,100,0,0,138
1,TAS,195,Warrane,703,45.8,832,54.2,1535,98.27,27,1.73,1562
1,TAS,192,Waverley,240,28.14,613,71.86,853,97.82,19,2.18,872
1,TAS,193,Wesley Vale,80,25.81,230,74.19,310,99.04,3,0.96,313
