2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:22 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,229,Bulleen,630,39.18,978,60.82,1608,98.35,27,1.65,1635
1,VIC,229,Bulleen Lower,476,46.62,545,53.38,1021,98.74,13,1.26,1034
1,VIC,226,Bullengarook,170,52.8,152,47.2,322,98.17,6,1.83,328
1,VIC,323,Buln Buln,123,33.24,247,66.76,370,99.46,2,0.54,372
1,VIC,324,Bunbartha,48,22.02,170,77.98,218,98.64,3,1.36,221
1,VIC,213,Bundalaguah,35,26.72,96,73.28,131,99.24,1,0.76,132
1,VIC,320,Bundoora (Cooper),195,54.02,166,45.98,361,98.9,4,1.1,365
1,VIC,220,Bundoora (Jagajaga),422,48.17,454,51.83,876,97.33,24,2.67,900
1,VIC,220,Bundoora Central,296,44.05,376,55.95,672,98.68,9,1.32,681
1,VIC,320,Bundoora South,534,58.36,381,41.64,915,98.71,12,1.29,927
1,VIC,232,Bundoora West,685,44.68,848,55.32,1533,98.59,22,1.41,1555
1,VIC,198,Bungaree,111,26.75,304,73.25,415,98.81,5,1.19,420
1,VIC,198,Buninyong,1012,53.6,876,46.4,1888,99.37,12,0.63,1900
1,VIC,223,Bunyip,382,29.91,895,70.09,1277,98.84,15,1.16,1292
1,VIC,228,Burnley,1121,76.73,340,23.27,1461,99.32,10,0.68,1471
1,VIC,309,Burnside,470,48.96,490,51.04,960,98.97,10,1.03,970
1,VIC,309,Burnside Heights,700,44.16,885,55.84,1585,99,16,1,1601
1,VIC,205,Burwood Central,613,59.86,411,40.14,1024,99.22,8,0.78,1032
1,VIC,205,Burwood East,449,47.51,496,52.49,945,99.06,9,0.94,954
